date,tmin,tmax,rhmin,rhmax,solar,wind
11/1/2013,4.6,17.8,53,97,7.618,0.103153931
11/2/2013,3.5,16.8,66,99,2.183,0.284866896
11/3/2013,7,17.5,67,99,1.785,0.52228009
11/4/2013,8.1,11.2,88,96,3.779,0.425781236
11/5/2013,4.6,11.1,90,98,1.484,0.132957181
11/6/2013,2.4,8.9,97,99,2.021,0.152343722
11/7/2013,5.2,18.6,56,100,7.379,0.141927076
11/8/2013,2.3,18.3,62,99,6.501,0.170283556
11/9/2013,7.2,18.8,63,97,0.885,0.569878465
11/10/2013,4.6,11.2,76,97,3.974,0.236400431
11/11/2013,5.6,8.6,54,97,1.759,0.848379639
11/12/2013,5.3,8.8,64,94,2.693,0.07841434
11/13/2013,6.2,7.7,89,97,0.605,0.043113417
11/14/2013,4.2,8.6,62,97,3.896,0.150028951
11/15/2013,4.7,6.7,94,98,0.502,0.294994243
11/16/2013,1.8,11.4,75,98,4.753,0.196325222
11/17/2013,0.1,11,79,100,5.435,0.378327542
11/18/2013,2.5,11.3,77,99,3.254,0.281828708
11/19/2013,4.8,6.9,96,99,0.861,0.155381924
11/20/2013,6.3,7.5,98,99,0.787,0.138454882
11/21/2013,3.9,9.2,95,99,1.87,0.439525479
11/22/2013,3.6,6.4,98,99,0.502,0.234085611
11/23/2013,6.3,8.8,93,99,0.43,0.852575208
11/24/2013,5.1,7.6,94,97,0.897,0.62094909
11/25/2013,1.1,5.3,39,96,2.414,2.087673625
11/26/2013,-0.6,5,42,68,3.163,2.285445604
11/27/2013,-4.5,3.8,44,84,4.691,1.186487243
11/28/2013,-6.3,5.5,39,96,4.927,0.218026611
11/29/2013,-5.8,8.7,36,97,5,0.186631958
11/30/2013,-1.8,4.5,69,95,2.672,0.153790493
12/1/2013,-3.1,9.4,46,98,4.828,0.306857611
12/2/2013,-4.4,8.3,56,98,4.754,0.383101882
12/3/2013,-5.8,6.5,65,98,4.656,0.161313667
12/4/2013,-5.5,-0.5,96,100,3.46,0.148871535
12/5/2013,-5.6,6,63,100,3.883,0.394675938
12/6/2013,-2.1,8,45,96,4.42,0.575520861
12/7/2013,-2,7.8,30,79,4.448,0.358506924
12/8/2013,-3.5,5.3,62,95,2.452,0.270109951
12/9/2013,-3.4,4.7,64,97,0.977,0.438368063
12/10/2013,2.2,12.3,58,84,3.981,0.352285889
12/11/2013,0.9,3.5,71,79,1.039,0.36053241
12/12/2013,-2.6,5.7,71,96,1.994,0.093026604
12/13/2013,-3.1,1.1,96,100,0.963,0.289351868
12/14/2013,-1.2,0.2,99,100,0.727,0.207465271
12/15/2013,-1.7,0.2,97,100,1.253,0.403211778
12/16/2013,-3.3,1.3,95,100,3.058,0.373842604
12/17/2013,-3.7,-2.3,99,100,0.906,0.304108757
12/18/2013,-4.1,-2.5,99,100,0.455,0.226273153
12/19/2013,-4.4,1,88,99,2.977,0.315682833
12/20/2013,-1.6,3.4,95,100,2.117,0.288049771
12/21/2013,-0.3,4.3,96,100,1.699,0.225839076
12/22/2013,-0.3,3.5,98,100,1.506,0.051504618
12/23/2013,-0.8,2.1,100,100,2.336,0.004918972
12/24/2013,-1.5,12.7,52,100,4.095,1.151909694
12/25/2013,8.1,13.1,50,72,2.083,2.075810194
12/26/2013,7,11.8,57,96,1.322,0.348234944
12/27/2013,4.1,8.2,81,97,1.698,0.071035861
12/28/2013,-0.7,11.9,63,100,2.331,0.103153917
12/29/2013,4.1,11.5,57,94,1.207,0.225694451
12/30/2013,3.2,7.4,70,96,2.554,0.073350681
12/31/2013,3.8,4.9,82,96,0.784,0.014467604