date;precip
2013-11-01;0
2013-11-02;0
2013-11-03;0.3
2013-11-04;11.3
2013-11-05;14.6
2013-11-06;8.9
2013-11-07;0
2013-11-08;0
2013-11-09;0
2013-11-10;38.9
2013-11-11;7.7
2013-11-12;1.8
2013-11-13;0
2013-11-14;3.1
2013-11-15;3.6
2013-11-16;0.4
2013-11-17;0
2013-11-18;0
2013-11-19;0
2013-11-20;5.8
2013-11-21;8
2013-11-22;0.3
2013-11-23;18.8
2013-11-24;24.7
2013-11-25;5.8
2013-11-26;0
2013-11-27;0
2013-11-28;0
2013-11-29;0
2013-11-30;0
2013-12-01;0
2013-12-02;0
2013-12-03;0
2013-12-04;0
2013-12-05;0
2013-12-06;0
2013-12-07;0
2013-12-08;0
2013-12-09;0
2013-12-10;0
2013-12-11;0
2013-12-12;0
2013-12-13;0
2013-12-14;0
2013-12-15;0
2013-12-16;0
2013-12-17;0
2013-12-18;0
2013-12-19;0
2013-12-20;0
2013-12-21;0
2013-12-22;0
2013-12-23;0
2013-12-24;0
2013-12-25;0
2013-12-26;0
2013-12-27;17.4
2013-12-28;0
2013-12-29;0
2013-12-30;8.5
2013-12-31;1.3